seqnames,start,end,width,strand,gc,mapp
chr1,1000001,2000000,1000000,*,57.29,0.929870339229869
chr1,2000001,3000000,1000000,*,55.83,0.948860970919681
chr1,3000001,4000000,1000000,*,56.47,0.987515484887956
chr1,4000001,5000000,1000000,*,47.9,0.9813676538
chr1,5000001,6000000,1000000,*,47.23,0.9822325109
chr1,6000001,7000000,1000000,*,51.63,0.9832033033
chr1,7000001,8000000,1000000,*,47.78,0.979738622538623
chr1,8000001,9000000,1000000,*,44.55,0.981371577871578
chr1,9000001,10000000,1000000,*,50.15,0.983497197397197
chr1,10000001,11000000,1000000,*,48.08,0.98610861980862
chr1,11000001,12000000,1000000,*,50.04,0.9788857841
chr1,14000001,15000000,1000000,*,44.99,0.9832096944
chr1,15000001,16000000,1000000,*,48.38,0.984595738995739
chr1,17000001,18000000,1000000,*,50.26,0.991216130348391
chr1,18000001,19000000,1000000,*,49.75,0.9933788873
chr1,19000001,20000000,1000000,*,47.17,0.987875028475028
chr1,20000001,21000000,1000000,*,46.1,0.9854818343
chr1,21000001,22000000,1000000,*,48.32,0.9597158079
chr1,22000001,23000000,1000000,*,49.44,0.9881980187
chr1,23000001,24000000,1000000,*,46.07,0.975126540679622
chr1,24000001,25000000,1000000,*,46.92,0.9835816461
chr1,25000001,26000000,1000000,*,47.71,0.9366275397
chr1,26000001,27000000,1000000,*,48.63,0.9770516248
chr1,27000001,28000000,1000000,*,48.6,0.976942592116645
chr1,28000001,29000000,1000000,*,45.31,0.9779188263
chr1,29000001,30000000,1000000,*,47.27,0.984041398955722
chr1,30000001,31000000,1000000,*,48.24,0.9756968098
chr1,31000001,32000000,1000000,*,47.32,0.985683944212472
chr1,32000001,33000000,1000000,*,47.29,0.9773662331
chr1,33000001,34000000,1000000,*,45.9,0.974949638449638
chr1,34000001,35000000,1000000,*,44.8,0.9692195614
chr1,35000001,36000000,1000000,*,42.39,0.9810227626
chr1,36000001,37000000,1000000,*,48.45,0.9876382545
chr1,37000001,38000000,1000000,*,47.29,0.9763621454
chr1,38000001,39000000,1000000,*,45.47,0.9821890889
chr1,39000001,40000000,1000000,*,45.83,0.9653504532
chr1,40000001,41000000,1000000,*,44.41,0.9772322122
chr1,41000001,42000000,1000000,*,46.25,0.975844825244825
chr1,42000001,43000000,1000000,*,42.44,0.9783050704
chr1,43000001,44000000,1000000,*,47.5,0.980032427
chr1,44000001,45000000,1000000,*,46.54,0.9856403649
chr1,45000001,46000000,1000000,*,42.63,0.9576083357
chr1,46000001,47000000,1000000,*,45.68,0.940980814137772
chr1,47000001,48000000,1000000,*,46.06,0.9540402776
chr1,48000001,49000000,1000000,*,41.52,0.9618431947
chr1,49000001,50000000,1000000,*,37.57,0.9355650861
chr1,50000001,51000000,1000000,*,40.06,0.978650179
chr1,51000001,52000000,1000000,*,41.11,0.9799383871
chr1,52000001,53000000,1000000,*,42.35,0.9762016701
chr1,53000001,54000000,1000000,*,47.3,0.9855389403
chr1,54000001,55000000,1000000,*,48.49,0.9790703367
chr1,55000001,56000000,1000000,*,41.25,0.976568217326314
chr1,56000001,57000000,1000000,*,40.44,0.980465788765789
chr1,57000001,58000000,1000000,*,40.61,0.986838065138065
chr1,58000001,59000000,1000000,*,41.7,0.960212679
chr1,59000001,60000000,1000000,*,40.29,0.9598099068
chr1,60000001,61000000,1000000,*,38.59,0.9581219147
chr1,61000001,62000000,1000000,*,39.99,0.986380821
chr1,62000001,63000000,1000000,*,40.7,0.976261293861294
chr1,63000001,64000000,1000000,*,40.35,0.982701095
chr1,64000001,65000000,1000000,*,40.63,0.975642872314893
chr1,65000001,66000000,1000000,*,39.25,0.9582789801
chr1,66000001,67000000,1000000,*,37.76,0.964465750949629
chr1,67000001,68000000,1000000,*,40.9,0.9775341467
chr1,68000001,69000000,1000000,*,38.68,0.9610558523
chr1,69000001,70000000,1000000,*,36.18,0.9583310366
chr1,70000001,71000000,1000000,*,37.61,0.9762589683
chr1,71000001,72000000,1000000,*,36.16,0.9690849203
chr1,72000001,73000000,1000000,*,34.77,0.9770165987
chr1,73000001,74000000,1000000,*,35.19,0.9846263572
chr1,74000001,75000000,1000000,*,36.45,0.9585217293
chr1,75000001,76000000,1000000,*,37.62,0.9474209864
chr1,76000001,77000000,1000000,*,38.68,0.97519873287476
chr1,77000001,78000000,1000000,*,38.82,0.974150561550561
chr1,78000001,79000000,1000000,*,37.23,0.9670341542
chr1,79000001,80000000,1000000,*,35.69,0.9657477493
chr1,80000001,81000000,1000000,*,35.04,0.9605836473
chr1,81000001,82000000,1000000,*,36.64,0.988900340800341
chr1,82000001,83000000,1000000,*,36.62,0.975481973181973
chr1,84000001,85000000,1000000,*,38.91,0.9827746908
chr1,85000001,86000000,1000000,*,38.71,0.9560620336
chr1,86000001,87000000,1000000,*,38.16,0.951947624632786
chr1,87000001,88000000,1000000,*,39.23,0.9878624485
chr1,88000001,89000000,1000000,*,37.75,0.9835413403
chr1,89000001,90000000,1000000,*,39.71,0.951563815776972
chr1,90000001,91000000,1000000,*,38.58,0.972008256916514
